Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),SA4 Region,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding,Total Places
AVONDALE HEIGHTS,VIC,3034,Western Metro,Melbourne - North West,Residential,60,,,Wintringham,Charitable,Major Cities of Australia,-37.765559,144.85954,4966577,60
COOLUM BEACH,QLD,4573,Sunshine Coast,Sunshine Coast,Residential,76,,,Tilburg Proprietary Limited,Private Incorporated Body,Major Cities of Australia,-26.53884884,153.0797595,5071458,76
OCEAN GROVE,VIC,3226,Barwon-South Western,Geelong,Residential,150,,,Wickro Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.25295665,144.5520074,9624433,150
MERBEIN,VIC,3505,Loddon-Mallee,North West,Residential,71,,,Chaffey Aged Care Inc,Community Based,Outer Regional Australia,-34.16936771,142.0585691,4089038,71
YARRAWONGA,VIC,3730,Hume,Shepparton,Residential,130,,,Bentley-Wood Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.0131729,146.0139638,6627776,130
EPPING,VIC,3076,Northern Metro,Melbourne - North East,Residential,120,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.6484428,145.0651095,8461728,120
MORWELL,VIC,3840,Gippsland,Latrobe - Gippsland,Residential,96,,,Amberlea Residences Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.22138095,146.4158043,5706680,96
SOUTH MORANG,VIC,3752,Northern Metro,Melbourne - North East,Residential,120,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.6472919,145.091151,8000066,120
LYNBROOK,VIC,3975,Southern Metro,Melbourne - South East,Residential,121,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.04546333,145.2604346,8629016,121
ARDEER,VIC,3022,Western Metro,Melbourne - West,Residential,45,,,The Community of Cypriots of the Northern Suburbs of Melbourne Inc,Community Based,Major Cities of Australia,-37.783663,144.812239,2572653,45
ANGLESEA,VIC,3230,Barwon-South Western,Geelong,Residential,60,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.40538434,144.1795727,3622501,60
BRUNSWICK,VIC,3056,Northern Metro,Melbourne - Inner,Residential,60,,,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.75583355,144.9638549,4426031,60
MAIDSTONE,VIC,3012,Western Metro,Melbourne - West,Residential,90,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.77797669,144.8761356,6868723,90
CROYDON,VIC,3136,Eastern Metro,Melbourne - Outer East,Residential,104,,,Norsan Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.781434,145.286509,5583245,104
MILL PARK,VIC,3082,Northern Metro,Melbourne - North East,Residential,121,,,Java Dale Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.65528654,145.0821508,7376436,121
BANNOCKBURN,VIC,3331,Grampians,Geelong,Residential,120,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.03713715,144.165505,7083159,120
COWES,VIC,3922,Gippsland,Latrobe - Gippsland,Residential,80,,,Sapphire Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.4599165,145.2320012,5923609,80
MILL PARK,VIC,3082,Northern Metro,Melbourne - North East,Residential,90,,,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.65720855,145.0824852,6647086,90
ESSENDON,VIC,3040,Western Metro,Melbourne - Inner,Residential,103,,,Churches of Christ in Queensland,Religious,Major Cities of Australia,-37.74288876,144.9048854,6220682,103
EAST MELBOURNE,VIC,3002,Western Metro,Melbourne - Inner,Residential,110,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.81238564,144.9841732,6764149,110
NOBLE PARK,VIC,3174,Southern Metro,Melbourne - South East,Residential,160,,,Great Oaks Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.967918,145.173174,11394290,160
FRANKSTON,VIC,3199,Southern Metro,Mornington Peninsula,Residential,106,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.140431,145.14785,3907224,106
CAMBERWELL,VIC,3124,Eastern Metro,Melbourne - Inner East,Residential,75,,,Gold Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83901925,145.0884076,3878339,75
WHITTLESEA,VIC,3757,Northern Metro,Melbourne - North East,Residential,90,,,TLC Whittlesea Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.514719,145.118274,6189703,90
ROSEBUD,VIC,3939,Southern Metro,Mornington Peninsula,Residential,91,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.37747394,144.9163818,5751750,91
ELSTERNWICK,VIC,3185,Southern Metro,Melbourne - Inner South,Residential,70,,,Provectus Care Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.887482,145.010079,2111314,70
CARNEGIE,VIC,3163,Southern Metro,Melbourne - Inner South,Residential,120,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8990795,145.0615868,8346561,120
NORTHCOTE,VIC,3070,Northern Metro,Melbourne - Inner,Residential,80,,,Sapphire Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.78187025,145.0035066,5431242,80
SANDRINGHAM,VIC,3191,Southern Metro,Melbourne - Inner South,Residential,90,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.95534165,145.0286573,5627493,90
MINTO,NSW,2566,South West Sydney,Sydney - Outer South West,Residential,108,,,The Sisters of Our Lady of China Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.02463608,150.8494532,7168936,108
LABRADOR,QLD,4215,South Coast,Gold Coast,Residential,144,,,Ozcare,Charitable,Major Cities of Australia,-27.94308347,153.389536,8598171,144
URANGAN,QLD,4655,Wide Bay,Wide Bay,Residential,72,,,Torbay Lifestyles and Care Limited,Community Based,Inner Regional Australia,-25.29805544,152.882515,4006326,72
NARRE WARREN,VIC,3805,Southern Metro,Melbourne - South East,Residential,146,,,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.04165551,145.305012,10248869,146
UNANDERRA,NSW,2526,Illawarra,Illawarra,Residential,108,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-34.454491,150.823362,7572776,108
BAYSWATER,WA,6053,Metropolitan East,Perth - North East,Transition Care,,,55,Government of Western Australia,State Government,Major Cities of Australia,-31.93047,115.91597,3586228,55
NAMBUCCA HEADS,NSW,2448,Mid North Coast,Mid North Coast,Residential,40,,,Nambucca Valley Care Ltd,Community Based,Outer Regional Australia,-30.65105792,152.9914762,3118297,40
WODEN,ACT,2606,ACT,Australian Capital Territory,Transition Care,,,58,ACT Health,Territory Government,Major Cities of Australia,-35.34291351,149.0867096,3682824,58
ALBURY,NSW,2640,Riverina/Murray,Murray,Transition Care,,,25,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-36.06924105,146.9167232,1660189,25
LISMORE,NSW,2480,Far North Coast,Richmond - Tweed,Transition Care,,,26,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-28.808756,153.294263,1863738,26
TWEED HEADS,NSW,2485,Far North Coast,Richmond - Tweed,Transition Care,,,30,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-28.176162,153.54511,1963668,30
RANDWICK,NSW,2031,South East Sydney,Sydney - Eastern Suburbs,Transition Care,,,25,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.92183,151.24275,1660345,25
DARLINGHURST,NSW,2010,South East Sydney,Sydney - City and Inner South,Transition Care,,,34,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.87910003,151.2217831,2406244,34
RYDE,NSW,2112,Northern Sydney,Sydney - Ryde,Transition Care,,,88,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.82144396,151.1083784,5952607,88
BOSSLEY PARK,NSW,2176,South West Sydney,Sydney - South West,Residential,113,,,SWIAA Limited,Charitable,Major Cities of Australia,-33.86359259,150.88335,7263501,113
NORTH LAKES,QLD,4509,Cabool,Moreton Bay - South,Residential,136,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.23655385,153.0142484,8669177,136
HELENSVALE,QLD,4212,South Coast,Gold Coast,Residential,72,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.92368448,153.3331044,4836856,72
DECEPTION BAY,QLD,4508,Cabool,Moreton Bay - North,Residential,122,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.19821991,153.0344101,8538337,122
CARINA,QLD,4152,Brisbane South,Brisbane - South,Residential,154,,,The Presbyterian Church of Queensland,Religious,Major Cities of Australia,-27.48564311,153.0983538,9243868,154
VARSITY LAKES,QLD,4227,South Coast,Gold Coast,Residential,120,,,Domain Aged Care No.2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-28.075667,153.41448,9138053,120
HOPE VALLEY,SA,5090,Metropolitan North,Adelaide - North,Residential,116,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,-34.83948612,138.7090867,7981315,116
MERRIWA,WA,6030,Metropolitan North,Perth - North West,Residential,79,,,Australian Flying Corps & Royal Australian Air Force Association (WA Div) Inc,Charitable,Major Cities of Australia,-31.67091994,115.7191176,5352448,79
CLEVELAND,QLD,4163,Brisbane South,Brisbane - East,Residential,128,,,Queensland Health,State Government,Major Cities of Australia,-27.54140634,153.2501565,6245508,128
PORT SORELL,TAS,7307,North Western,West and North West,Residential,60,,,OneCare Limited,Charitable,Outer Regional Australia,-41.16095723,146.5285492,3959105,60
KILMORE,VIC,3764,Hume,Hume,Residential,80,,,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.2951701,144.945046,5988661,80
MALVERN,VIC,3144,Southern Metro,Melbourne - Inner South,Residential,108,,,MECWA,Community Based,Major Cities of Australia,-37.85211635,145.0348738,4245841,108
MOOROOLBARK,VIC,3138,Eastern Metro,Melbourne - Outer East,Residential,75,,,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.781481,145.317245,5486033,75
DANDENONG,VIC,3175,Southern Metro,Melbourne - South East,Residential,62,,,Wintringham,Charitable,Major Cities of Australia,-37.98166649,145.2063782,4375356,62
CLAYTON,VIC,3168,Eastern Metro,Melbourne - South East,Residential,120,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.91395719,145.1218766,7596610,120
BRIGHTON EAST,VIC,3187,Southern Metro,Melbourne - Inner South,Residential,125,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.92726797,145.0080003,6227906,125
CARSELDINE,QLD,4034,Brisbane North,Brisbane - North,Residential,120,,,Domain Aged Care No.2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.33721529,153.0109746,8215308,120
LORD HOWE ISLAND,NSW,2898,South East Sydney,Mid North Coast,Multi-Purpose Service,1,3,,South Eastern Sydney Local Health District,State Government,Very Remote Australia,-31.53525431,159.0704795,148610,4
WOY WOY,NSW,2256,Central Coast,Central Coast,Transition Care,,,20,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.497526,151.320127,1169487,20
NORTH GOSFORD,NSW,2250,Central Coast,Central Coast,Transition Care,,,83,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.403868,151.349429,5638765,83
GRAFTON,NSW,2460,Far North Coast,Coffs Harbour - Grafton,Transition Care,,,21,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-29.67850203,152.9396428,1471447,21
WARRAWONG,NSW,2502,Illawarra,Illawarra,Transition Care,,,55,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-34.479694,150.877219,3638290,55
HEIDELBERG,VIC,3084,Northern Metro,Melbourne - North East,Transition Care,,,50,Department of Health,State Government,Major Cities of Australia,-37.75667619,145.0592495,3521591,50
CAULFIELD,VIC,3162,Southern Metro,Melbourne - Inner South,Transition Care,,,88,Department of Health,State Government,Major Cities of Australia,-37.88440165,145.015475,5979678,88
RINGWOOD,VIC,3134,Eastern Metro,Melbourne - Outer East,Transition Care,,,94,Department of Health,State Government,Major Cities of Australia,-37.811381,145.2271407,6736726,94
PARKVILLE,VIC,3052,Western Metro,Melbourne - Inner,Transition Care,,,63,Department of Health,State Government,Major Cities of Australia,-37.7769761,144.9493217,4208047,63
PRESTON,VIC,3072,Northern Metro,Melbourne - North East,Transition Care,,,67,Department of Health,State Government,Major Cities of Australia,-37.746105,145.010058,4602108,67
FRANKSTON,VIC,3199,Southern Metro,Mornington Peninsula,Transition Care,,,61,Department of Health,State Government,Major Cities of Australia,-38.15296,145.13255,3953558,61
KEW,VIC,3101,Eastern Metro,Melbourne - Inner East,Transition Care,,,61,Department of Health,State Government,Major Cities of Australia,-37.8092826,145.0533784,4250624,61
FOOTSCRAY,VIC,3011,Western Metro,Melbourne - West,Transition Care,,,64,Department of Health,State Government,Major Cities of Australia,-37.78723,144.890255,4314214,64
CHELTENHAM,VIC,3192,Southern Metro,Melbourne - Inner South,Transition Care,,,78,Department of Health,State Government,Major Cities of Australia,-37.952403,145.076832,5622844,78
GEELONG,VIC,3220,Barwon-South Western,Geelong,Transition Care,,,52,Department of Health,State Government,Major Cities of Australia,-38.152685,144.371975,3398654,52
TAREN POINT,NSW,2229,South East Sydney,Sydney - Sutherland,Residential,123,,,Anglican Community Services,Religious,Major Cities of Australia,-34.01898851,151.1256159,7036466,123
CONCORD,NSW,2137,Inner West,Sydney - Inner West,Residential,116,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.86249837,151.0998588,5896733,116
MURWILLUMBAH,NSW,2484,Far North Coast,Richmond - Tweed,Residential,115,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,-28.33304322,153.3735667,6467778,115
CONCORD WEST,NSW,2138,Inner West,Sydney - Inner West,Transition Care,,,90,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.83779418,151.0913424,5922047,90
NOWRA,NSW,2541,Illawarra,Southern Highlands and Shoalhaven,Transition Care,,,30,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-34.88099,150.594305,2074349,30
MIRANDA,NSW,2228,South East Sydney,Sydney - Sutherland,Transition Care,,,38,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-34.03486071,151.1135262,2219823,38
LEMONGROVE,NSW,2750,Nepean,Sydney - Outer West and Blue Mountains,Transition Care,,,48,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.75045,150.70862,2882263,48
WESTMEAD,NSW,2145,Western Sydney,Sydney - Parramatta,Transition Care,,,78,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.80282276,150.9961849,4504147,78
EIGHT MILE PLAINS,QLD,4113,Brisbane South,Brisbane - South,Transition Care,,,146,Queensland Health,State Government,Major Cities of Australia,-27.57730496,153.095633,8846545,146
BUNDALL,QLD,4217,South Coast,Gold Coast,Transition Care,,,96,Queensland Health,State Government,Major Cities of Australia,-28.0013689,153.4131759,6444478,96
EAST BRUNSWICK,VIC,3057,Northern Metro,Melbourne - Inner,National Aboriginal and Torres Strait Islander Aged Care Program,25,69,,Aboriginal Community Elders Services Inc,Community Based,Major Cities of Australia,-37.7637152,144.9814677,2448908,94
CHARMHAVEN,NSW,2263,Central Coast,Central Coast,Residential,40,,,Central Coast Community Care Association Limited,Charitable,Major Cities of Australia,-33.23890744,151.5037781,2093225,40
CAMPBELLTOWN,NSW,2560,South West Sydney,Sydney - Outer South West,Residential,60,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.07481706,150.8063766,2892561,60
BICTON,WA,6157,Metropolitan South West,Perth - South West,Transition Care,,,55,Government of Western Australia,State Government,Major Cities of Australia,-32.03049,115.78344,3301812,55
BANORA POINT,NSW,2486,Far North Coast,Richmond - Tweed,Residential,90,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-28.21303627,153.5319838,5939640,90
BORROLOOLA,NT,854,Katherine,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,12,7,,Mabunji Aboriginal Resource Indigenous Corporation,Community Based,Very Remote Australia,-16.07001371,136.3071526,837535,19
TWEED HEADS SOUTH,NSW,2486,Far North Coast,Richmond - Tweed,National Aboriginal and Torres Strait Islander Aged Care Program,5,9,,Canowindra Tweed Byron Aged and Disabled Aboriginal Corporation,Community Based,Major Cities of Australia,-28.20416499,153.5344094,327375,14
GILGANDRA,NSW,2827,Orana Far West,Far West and Orana,National Aboriginal and Torres Strait Islander Aged Care Program,8,5,,Gilgandra Council,Local Government,Outer Regional Australia,-31.7044426,148.6454457,441756,13
KINGSLEY,WA,6026,Metropolitan North,Perth - North West,Residential,129,,,Meath Care (Inc),Community Based,Major Cities of Australia,-31.80208601,115.8139886,8011666,129
CAIRNS,QLD,4870,Far North,Cairns,Transition Care,,,38,Queensland Health,State Government,Outer Regional Australia,-16.92344422,145.7745272,2382902,38
SUSSEX INLET,NSW,2540,Illawarra,Southern Highlands and Shoalhaven,Residential,30,,,Inasmuch Community Inc,Community Based,Inner Regional Australia,-35.16874937,150.5916729,1986240,30
RANDWICK,NSW,2031,South East Sydney,Sydney - Eastern Suburbs,Residential,276,,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,-33.9063524,151.2383955,14071177,276
ROSE BAY,NSW,2029,South East Sydney,Sydney - Eastern Suburbs,Residential,81,,,Provectus Care Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.87184189,151.2548945,1732558,81
BARDEN RIDGE,NSW,2234,South East Sydney,Sydney - Sutherland,Residential,62,,,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.02464731,151.013144,4058271,62
ASHFIELD,NSW,2131,Inner West,Sydney - Inner West,Residential,63,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.89194046,151.1198897,5177682,63
LEETON,NSW,2705,Riverina/Murray,Riverina,Residential,46,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-34.53916946,146.4041841,2482087,46
FREDERICKTON,NSW,2440,Mid North Coast,Mid North Coast,Residential,140,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.03762576,152.868663,9363476,140
WOONONA,NSW,2517,Illawarra,Illawarra,Residential,168,,,Marco Polo Aged Care Services Limited,Charitable,Major Cities of Australia,-34.349369,150.900559,1361576,168
CHATSWOOD,NSW,2067,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,90,,,Australian Hospital Administration Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.80202483,151.1849855,5576868,90
HURSTVILLE,NSW,2220,South East Sydney,Sydney - Inner South West,Residential,70,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.95848509,151.1078701,5312496,70
SUTHERLAND,NSW,2232,South East Sydney,Sydney - Sutherland,Residential,144,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.0306144,151.0662368,8570801,144
SHELLHARBOUR CITY CENTRE,NSW,2529,Illawarra,Illawarra,Residential,100,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-34.56734012,150.8397216,6346051,100
PORT MACQUARIE,NSW,2444,Mid North Coast,Mid North Coast,Residential,110,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.44889333,152.8775362,6998131,110
NAMBUCCA HEADS,NSW,2448,Mid North Coast,Mid North Coast,Residential,86,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-30.64110513,153.0052193,5164702,86
WALLSEND,NSW,2287,Hunter,Newcastle and Lake Macquarie,Residential,142,,,Stelcom Pty Limited,Private Incorporated Body,Major Cities of Australia,-32.90497674,151.6767448,8695811,142
GEORGES HALL,NSW,2198,South West Sydney,Sydney - Inner South West,Residential,144,,,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.91131999,150.9961951,8856575,144
POTTSVILLE,NSW,2489,Far North Coast,Richmond - Tweed,Residential,154,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-28.38660327,153.554082,9363413,154
NEWCASTLE WEST,NSW,2302,Hunter,Newcastle and Lake Macquarie,Transition Care,,,54,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-32.92660587,151.7647893,3763773,54
TAREE,NSW,2430,Mid North Coast,Mid North Coast,Transition Care,,,28,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-31.91153416,152.459972,1881727,28
TAMWORTH,NSW,2340,New England,New England and North West,Transition Care,,,18,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-31.068882,150.925706,1170753,18
ERMINGTON,NSW,2115,Western Sydney,Sydney - Parramatta,Residential,96,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.8053548,151.059557,6729404,96
KOGARAH,NSW,2217,South East Sydney,Sydney - Inner South West,Transition Care,,,41,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.975784,151.136471,2405225,41
WATSONIA,VIC,3087,Northern Metro,Melbourne - North East,Innovative Pool,4,,,Multiple Sclerosis Limited,Charitable,Major Cities of Australia,-37.71549353,145.0811209,109500,4
PORT AUGUSTA,SA,5700,Flinders & Far North,South Australia - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,32,5,,Wami Kata Old Folks Home Inc,Community Based,Outer Regional Australia,-32.48546247,137.7701401,1949486,37
DAVOREN PARK,SA,5113,Metropolitan North,Adelaide - North,National Aboriginal and Torres Strait Islander Aged Care Program,33,,,Aboriginal Elders & Community Care Services Inc,Community Based,Major Cities of Australia,-34.69742739,138.6649525,1874857,33
THEVENARD,SA,5690,Eyre Peninsula,South Australia - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,9,7,,Ceduna Koonibba Aboriginal Health Service (Aboriginal Corporation),Community Based,Very Remote Australia,-32.1412802,133.6625338,675736,16
COOBER PEDY,SA,5723,Flinders & Far North,South Australia - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,20,2,,Umoona Aged Care Aboriginal Corp.,Community Based,Very Remote Australia,-28.99666461,134.7616131,1395685,22
APY LANDS,SA,872,Flinders & Far North,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,25,15,,Nganampa Health Council Inc,Community Based,Very Remote Australia,-26.466299,132.041759,1708716,40
YALATA,SA,5690,Eyre Peninsula,South Australia - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,,16,,Tullawon Health Service Inc,Community Based,Very Remote Australia,-31.479149,131.703262,345396,16
NGAANYATJARRA-GILES,WA,872,Goldfields,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,16,,,Ngaanyatjarra Health Service (Aboriginal Corporation),Charitable,Very Remote Australia,-25.283603,127.542064,1176042,16
PALM ISLAND,QLD,4816,Northern,Townsville,National Aboriginal and Torres Strait Islander Aged Care Program,15,,,Palm Island Aboriginal Council,Community Based,Remote Australia,-18.73608515,146.579164,1104358,15
MT ISA,QLD,4825,North West,Queensland - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,12,8,,Injilinji Aboriginal and Torres Strait Islander Corp for Children & Youth,Community Based,Remote Australia,-20.74233874,139.4998186,839973,20
GORDON,ACT,2906,ACT,Australian Capital Territory,Residential,42,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-35.45063982,149.0838127,1599606,42
LADY BARRON,TAS,7255,Northern,Launceston and North East,National Aboriginal and Torres Strait Islander Aged Care Program,,9,,Flinders Island Aboriginal Association Inc,Community Based,Very Remote Australia,-40.20958497,148.2377841,175970,9
CAPE BARREN ISLAND,TAS,7257,Northern,Launceston and North East,National Aboriginal and Torres Strait Islander Aged Care Program,,4,,Cape Barren Island Aboriginal Association Incorporated,Community Based,Very Remote Australia,-40.373124,148.030998,78209,4
HOBART,TAS,7000,Southern,Hobart,National Aboriginal and Torres Strait Islander Aged Care Program,,36,,Tasmanian Aboriginal Centre Inc,Community Based,Inner Regional Australia,-42.87903387,147.3215576,488961,36
MORNINGSIDE,QLD,4170,Brisbane South,Brisbane Inner City,National Aboriginal and Torres Strait Islander Aged Care Program,24,,,Winnam Aboriginal & Torres Strait Islander Corporation,Community Based,Major Cities of Australia,-27.46636774,153.073929,1467676,24
ANGURUGU,NT,880,East Arnhem,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,,12,,East Arnhem Regional Council,Local Government,Very Remote Australia,-13.97716154,136.4601378,645225,12
TI TREE,NT,872,Alice Springs,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,11,1,,Central Desert Regional Council,Local Government,Very Remote Australia,-22.12793523,133.4197674,644673,12
DOCKER RIVER,NT,872,Alice Springs,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,19,22,,Australian Regional and Remote Community Services Limited,Charitable,Very Remote Australia,-24.874167,129.083611,1576719,41
MANINGRIDA,NT,822,Darwin,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,11,1,,Malabam Health Board Aboriginal Corp,Community Based,Very Remote Australia,-12.051912,134.22173,645225,12
KALKARINDJI,NT,852,Katherine,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,,10,,Victoria Daly Regional Council,Local Government,Very Remote Australia,-17.44762478,130.8327955,201042,10
YUENDUMU,NT,872,Alice Springs,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,11,1,,Mampu Maninja-Kurlangu Jarlu Patu Ku Aboriginal Corp,Community Based,Very Remote Australia,-22.254496,131.797764,645225,12
TIMBER CREEK,NT,852,Katherine,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,,10,,Victoria Daly Regional Council,Community Based,Very Remote Australia,-15.64524857,130.46732,201042,10
WADEYE,NT,822,Katherine,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,24,20,,West Daly Regional Council,Local Government,Very Remote Australia,-14.238719,129.520633,1590133,44
NGUIU,NT,822,Darwin,Northern Territory - Outback,National Aboriginal and Torres Strait Islander Aged Care Program,22,11,,Calvary Community Care,Religious,Very Remote Australia,-11.616392,130.277821,1334307,33
BARALABA,QLD,4702,Fitzroy,Fitzroy,Multi-Purpose Service,4,1,,Queensland Health,State Government,Outer Regional Australia,-24.17977957,149.8120297,225862,5
BIGGENDEN,QLD,4621,Wide Bay,Wide Bay,Multi-Purpose Service,11,4,,Queensland Health,State Government,Outer Regional Australia,-25.50591368,152.051146,536185,15
BLACKWATER,QLD,4717,Fitzroy,Fitzroy,Multi-Purpose Service,4,4,,Queensland Health,State Government,Outer Regional Australia,-23.57535151,148.8788188,240593,8
EIDSVOLD,QLD,4627,Wide Bay,Wide Bay,Multi-Purpose Service,7,1,,Queensland Health,State Government,Outer Regional Australia,-25.36812231,151.0501809,373322,8
WEIPA,QLD,4874,Far North,Queensland - Outback,Multi-Purpose Service,12,2,,Queensland Health,State Government,Very Remote Australia,-12.64412514,141.862439,676639,14
TOOWOOMBA,QLD,4350,Darling Downs,Toowoomba,Transition Care,,,52,Queensland Health,State Government,Inner Regional Australia,-27.57060874,151.9463945,3540006,52
IPSWICH,QLD,4305,West Moreton,Ipswich,Transition Care,,,36,Queensland Health,State Government,Major Cities of Australia,-27.61309619,152.7602588,2458432,36
BRIGHTON,QLD,4017,Brisbane North,Brisbane - North,Transition Care,,,140,Queensland Health,State Government,Major Cities of Australia,-27.28983901,153.0635991,9418782,140
